NAME,WDPA_PID,DESIG_ENG,GIS_AREA,MAP,MAT,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5
Manjakatompo Ankaratra,555697911,National Park,81.3678179317146,2089.30515463918,12.9201030927835,1.85526315789474,311.911254882813,0.439306358381503,-0.9741294352227,0.00185064354037666,0.000829533032217163,-0.000423890615912412,0.00152730661588639,-0.00514431685616099
Ambohidray,555697915,National Park,12.4127225166742,1888.81333333333,18.39,1.45454545454545,278.401489257813,0.207547169811321,-0.7909423753117,0.0015069491870439,0.00058414891145661,-0.000757192609376511,0.00182849958365976,-0.00495232151376906
Ambararata Londa,555697916,National Park,102.924779605225,1111.94198473282,25.8614503816794,1.21739130434783,231.919799804688,0.0525114155251142,-0.177602110574315,0.00255786489433164,0.00147321080844669,7.80217081007837e-05,0.000626396985359838,-0.00558504211740127
Marolambo,555697917,National Park,1943.26071243388,2610.60927536232,16.4848654244307,1.21015761821366,294.561752319336,0.206435285610991,-1.22489668058065,0.00179871784382236,0.000782426545755154,-0.000494774747332162,0.00146412960286442,-0.00508193973675656
Magoe,555698167,National Park,3559.68827472038,857.126063829788,25.6513413506012,6.00797266514806,258.906346638997,0.708159698884259,0.265913616635602,0.00650904844918442,0.0052113019022433,0.00360608873070621,-0.00350122372936409,-0.024038245733972
Pomene,555698170,National Reserve,50.5108607657702,919.14375,23.8515625,2.824,121.251773834229,0.568181818181818,0.0143113527118669,0.0092722983842401,0.0079024004520709,0.00790430857417406,-0.0161582537598853,-0.0282923644579882
Lago Niassa,555698171,National Reserve,386.426017556452,1267.94233261339,24.763606911447,3.81159420289855,279.5166015625,0.0432601880877743,0.842463605305056,0.00375063990988112,0.00265843192636866,0.00142616731018709,-0.000522964245467044,-0.00672931662375566
Kandadji,555703185,Nature Reserve,12123.8107464732,342.03258195313,29.726592674042,1.1868932038835,206.297286987305,0.00822223996168277,0.0197136777363013,-0.00396250095503778,-0.00401687892182026,-0.0051111867181635,0.00734540394253586,0.000737019205077644
Hippopotamus Sanctuary,555703186,Strict Nature Reserve,99.124179223141,301.845378151261,29.9684873949579,0,210.396987915039,0,0.0370677124246677,-0.00394619472006139,-0.00385062724938594,-0.00506186048728519,0.00725036321874863,0.000804651706150164
W Parks Regional Complex,555703190,Regional Park,10484.290163282,836.340255257667,29.0900626103705,13.0204686684692,377.919799804688,0.983439074454189,0.292752818209632,-0.00404403553099639,-0.00402559561886047,-0.00519050037736847,0.0077230026172492,0.00066738008123682
Kounounkan,555703195,Nature Reserve,44.2715219,2987.33888888889,23.7833333333334,3.31521739130435,520.125183105469,0.50828729281768,0.452805278878886,-0.00509527484565043,-0.00519523550390631,-0.00687203128721494,0.0119779770637594,-0.00185992529302222
Togodo-Sud,555703403,National Park,164.76450684255,1009.2078125,26.6786458333334,13.4115898959881,1317.01916503906,0.997037037037037,-0.359311818995144,-0.00387306228260613,-0.00385183322331423,-0.00505754507158998,0.00785434171437871,0.000334248339835141
Bokong,555703460,Nature Reserve,19.525775,1266.19259259259,6.44259259259263,3.25882352941176,470.833953857422,0.965909090909091,0.418365106823381,0.00729171587860693,0.00763423681893565,0.0130682674958855,-0.0144364242232347,-0.0083152025484323
Tsehlanyane,555703461,National Park,53.938991,1463.56621621622,8.91891891891895,2.92982456140351,527.364074707031,0.923076923076923,0.182346257242581,0.00785999754609283,0.00830707220153878,0.0135940319626148,-0.0149169461812849,-0.00898527454402931
Meerkat National Park,555703705,National Park,1349.53786719263,172.878927203065,18.4287082649152,2.83333333333333,165.200225830078,0.0104945142311973,0.095530640310261,-0.0210277856101908,-0.026934394374763,-0.0416412567627903,0.0341578853917203,0.022081379276995
Arly,555705187,National Park,2200.47477582189,838.925885978427,29.4221494607086,14.903785488959,613.243286132813,0.987978628673197,-0.120465550939941,-0.00417897304731379,-0.00413885622043052,-0.00531808748743111,0.00796306833622902,0.000107463939832954
Gilé,555705202_A,National Park,2840.0175088546,1398.87676767677,24.5900865800864,12.4928157297706,146.533172607422,0.998238550578762,0.174634310106463,0.00483577877914802,0.00389623105249821,0.00282544327942448,-0.00265697897645125,-0.00851497585835489
Arsi Mountains,555705204,National Park,11693.9010811,1820.72874024363,13.9951528193157,2.40346858638744,565.863220214844,0.0647238224330735,0.239846540228104,-0.00179402878024329,-0.00251539493229897,-0.00422121453331137,0.0083664112932701,0.00260775428459364
Borena,555705205,National Park,46126.6609647,578.816149495847,23.0389329166203,1.07971745711403,271.240667724609,0.0107111975789019,0.333521818125489,-0.00158956001233947,-0.00246260162056241,-0.00485678591441565,0.0105118624994439,0.00221829598627138
Maze,555705206,National Park,365.370637428,1369.73773584906,20.583962264151,2.89312977099237,918.049560546875,0.0889945652173913,0.423549426562738,-0.00185028992540452,-0.00262708916238405,-0.0047392992578731,0.00982967998767376,0.00248096809389493
Ogooué-Lékéti,555705313,National Park,3483.27729232008,1946.91390466782,23.3955915040749,9.07595954952884,675.52646891276,0.623709862385321,0.226676594298051,-0.00205084755627074,-0.00225672570551369,-0.00308212273088774,0.00431083483244722,0.00128445663745682
Chimanimani,555705345_A,National Park,658.883717769949,1552.10206060606,17.2432121212121,4.96748466257669,214.026590983073,0.577809287486707,-0.387206355343781,0.00990320144597664,0.00832119077620803,0.00897274373531911,-0.0158114690682301,-0.0286651356756293
Gishwati-Mukura,555705569,National Park,32.04301796,1980.35641025641,14.6858974358975,0,812.344757080078,0,-0.123413042324256,-0.000746593001168329,-0.00165417283451373,-0.00316889664663007,0.00681411132551617,0.000795324320313128
Ise Forest,555705841,Conservation Area,33.12695747,1455.8975,25.1950000000001,0,1010.62048339844,0,0.82519749531942,-0.00346843026334182,-0.00344183142348154,-0.00447329537961204,0.00700243967204923,0.000985608845604528
Mont Muanenguba,555720257,Strict Nature Reserve,52.9648274715415,3937.71428571429,16.3325396825397,2.66666666666667,1359.78009033203,0.141509433962264,0.341095778231731,-0.00313462932269182,-0.00319804050001573,-0.00406538257567908,0.00582936123247175,0.0016178246935812
Semenawi-Debubawi Bahri,555721470,National park,917.19244573,406.070197486535,28.256104129264,1,427.028015136719,0.000522329589971272,-0.400445600605508,-0.00176668330144367,-0.00211038176321473,-0.00300638775664002,0.00519792563447017,0.00193722326949884
Dhati-Welel,555721609,National Park,1035.16609039,1334.67024390244,21.2790243902439,5.79181677817808,903.337463378906,0.92085308056872,0.312925641302783,-0.00187845049454102,-0.00250344998102582,-0.00429191193171938,0.00808050335212054,0.00260218694713539
Tullu Lafto-Sadden,555721610,Sanctuary,562.825553003,1633.61664167916,19.8693403298351,4.43380855397149,1123.08215332031,0.639878366637706,0.643003643143989,-0.00187091182572487,-0.00262642354448396,-0.00434763141238777,0.00830527819281242,0.00264541646577467
Liben Plain,555721625,Sanctuary,97.2075643201,705.500892857143,19.75,1,402.590789794922,0.00508905852417303,0.138145511607082,-0.00161634515124702,-0.00230598860995038,-0.00429832986041573,0.00969996772724065,0.00233280874722746
Malka Guba,555721626,National Park,547.709521574,550.83640625,24.77890625,1.24384236453202,337.289489746094,0.183710407239819,0.599272163620006,-0.00161249141739247,-0.00237549880632055,-0.00438487818093782,0.0100719890327289,0.00229358896767408
Bejimiz,555721640,National Park,1831.65043838,1565.24670027498,26.2751145737856,8.99845873616365,908.384948730469,0.948816804041478,0.686089332682921,-0.00189637003497443,-0.00245948729402559,-0.00371945159066313,0.00739883394227298,0.00261126229846799
Deddessa,555721641,National Park,2338.33040168,1026.92150576369,25.6224063400577,8.41641049893592,918.292989095052,0.886768714615223,1.53960432701302,-0.00190369542178128,-0.00249761682841669,-0.00430217020513643,0.00833797735049356,0.00263204515612152
Geralle,555721642,National Park,1601.38191725,431.221859967931,24.2356761090326,0,268.821029663086,0,0.534607894026087,-0.00143643694386651,-0.00209114038303469,-0.00434571342088191,0.00976484647423875,0.00223502481463959
Gibe Sheleko,555721643,National Park,321.54676955,970.58215223097,22.4030183727034,7.37906137184116,1158.44073486328,0.845156369183829,0.415871040469037,-0.00187405449533528,-0.00261473940937184,-0.00453841255383659,0.00868358216450062,0.00259827913921877
Loka-Abaya,555721644,National Park,545.837480026,1208.38984375,22.4940625,1.49090909090909,514.72900390625,0.0249546279491833,0.498930987214561,-0.00182407631399803,-0.00255246028357258,-0.00459331721284319,0.00923606720845107,0.00243845449915972
Mao-Komo,555721645,National Park,2306.58244942,1247.89108187135,23.7023757309941,8.80065139263252,1118.75421142578,0.946931830266936,1.0591643636263,-0.00185627588294075,-0.0023987546929719,-0.00421500905438909,0.00817740563224626,0.00261622120250265
Moyen-Bafing National Park,555721684,National Park,6705.55672706069,1416.47157934414,26.0844515642668,6.15174168919994,473.294213867188,0.917977733162986,0.274015594278344,-0.00498295109853302,-0.00511707769560251,-0.0069609598037678,0.011920197917593,-0.00196467628534299
Maiombe National Park,555756392,National Park,2065.05838227885,1613.15391304348,23.6548861283643,1.81553398058252,484.448791503906,0.0494301139772046,-1.91553081291535,-0.00212738296093377,-0.00227109326316189,-0.00293432120378114,0.00392940763295439,0.00137988821925738
Kigosi National Park,555756497,National Park,9266.83432236392,1073.31505059797,22.813440662373,6.88226891910452,418.186645507813,0.973265606202379,0.30204821695676,7.80350044306897e-05,-0.000966448363086535,-0.00282265092225899,0.00705583433329768,-2.23920207419772e-05
Ugalla River National Park,555756498,National Park,3866.81274152899,1043.240220022,23.1272717271723,10.8361434802422,318.081726074219,0.982035545326685,0.516886159145637,0.000720095086746862,-0.000212596809388883,-0.00209836378800231,0.00541109512054419,-0.000517424869215222
Nyerere National Park,555756499,National Park,30910.8326013011,1079.76640362613,24.4569546459878,5.82745511530723,195.00862121582,0.820548641097282,0.616234003547198,0.0019868059991608,0.00120654815202852,1.61903730852807e-05,0.00215946889906878,-0.00225076159776195
Rumanyika-Karagwe National Park,555756500,National Park,246.60564424196,1148.05783972125,20.4796167247387,2.90909090909091,730.022277832031,0.342713567839196,0.498971931248241,-0.000851614265089197,-0.0017285027971898,-0.00369038520145058,0.0081611091363133,0.00094409823098583
Ibanda-Kyerwa National Park,555756501,National Park,296.5673359957,950.73976945245,21.0880403458213,13.3828470380195,730.022277832031,0.943286071726439,0.515604545403468,-0.000884686609788376,-0.0017650907693624,-0.00362689794196643,0.00787077528827621,0.000966522127458485
Burigi-Chato National Park,555756502,National Park,4706.27658577117,897.092209914657,21.6110314145633,8.38359251746676,607.315307617188,0.935829158977063,0.272101839766927,-0.000543574382793583,-0.00151994147070354,-0.00336270479732406,0.00794505981439634,0.00058700939577069
Goukamma Provincial Nature Reserve,4026,Nature Reserve,23.0963202554701,771.1,17.1921052631579,1.05263157894737,91.3839874267578,0.584615384615385,-0.383780045607357,-0.0319386465152898,-0.034493428927261,-0.0444801694780043,0.0390969262308177,0.033921774284136
Bluff Nature Reserve,4938,Nature Reserve,0.459016696586557,916.275,21.15,0,624.001708984375,0,0.224308311041116,0.00724439263134126,0.00703821748518217,0.011354249323238,-0.0153854774582534,-0.0144125840158429
Kenneth Stainbank Nature Reserve,4940,Nature Reserve,2.1289130836345,936.45,20.8,0,624.001708984375,0,0.338944153679855,0.00729402305014528,0.00713644276236127,0.0113783340194381,-0.0153642318100156,-0.0139517528036517
Dwesa-Cwebe Nature Reserve,9081,Nature Reserve,53.7582881878587,1041.99836065574,19.9991803278689,1,266.016876220703,0.0365296803652968,0.00496972375600832,-0.000912208842805826,-0.00130031850137066,0.00163555449438963,-0.00348203453798459,-0.00507699604385592
Blouberg Protea Nature Reserve,9130,Nature Reserve,8.12179939075724,861.55,15.57,2.07692307692308,179.966125488281,1,-1.04961984692654,-0.022152636252047,-0.0259995593709571,-0.0294552971029751,0.0345121304278681,0.0283689474649667
Richards Bay Game Reserve,13307,Nature Reserve,13.2343021434809,1157.06,22.2366666666667,1,332.133392333984,0.0217391304347826,0.398556886886904,0.00946665625732805,0.00887740393636881,0.0137746234971854,-0.0175262097397843,-0.0173494794341613
West Coast National Park,17368,National Park,365.662553936807,357.266599597586,16.778370221328,1.03619909502262,102.477973937988,0.127524523946913,0.224720349507375,-0.0541742105064851,-0.0509477691045468,-0.0500451033019754,0.0495759505940781,0.0541278970890283
Keurbooms River Nature Reserve,32830,Nature Reserve,8.89920979770991,867.336363636364,17.1863636363637,1,129.384265899658,0.232558139534884,-0.468329684939845,-0.0277796538279676,-0.0313089564742834,-0.0399155398953809,0.0374210404916433,0.0319486761848694
Seekoei River Nature Reserve,33084,Nature Reserve,0.661828528009489,631.366666666667,18.0833333333334,0,119.949295043945,0,-0.961299832613308,-0.0185587328148637,-0.0200070938903948,-0.0262498891011067,0.0294883557783429,0.0269960360725745
